hike_region,total_distance,elevation_gain,hike_difficulty,stars,hike_id,loop,out_and_back,point_to_point,dog_friendly,kid_friendly,camping,waterfall,river,lake,wildflowers,wildlife,views
Roosevelt National Forest,2.6,404,1,3.9,hike53,0,1,0,1,1,1,0,0,1,0,1,1
Indian Peaks Wilderness,28.6,7085,2,4.8,hike54,1,0,0,1,0,1,0,1,1,1,1,1
San Juan National Forest,6.1,2501,3,4.9,hike55,0,1,0,1,0,1,1,0,1,1,0,1
Lost Creek Wilderness,9.6,1656,2,4.5,hike56,0,1,0,1,0,0,0,0,0,1,1,1
Rocky Mountain National Park,11.4,2678,2,4.7,hike57,0,1,0,0,0,0,1,1,1,1,1,1
Rocky Mountain National Park,7.4,2492,3,4.6,hike58,0,1,0,0,0,0,0,0,0,0,1,1
Boulder Mountain Park,2.7,858,2,3.8,hike59,0,1,0,1,1,0,0,0,0,1,0,1
Gateway Mountain Park,7.4,2570,3,4.4,hike60,1,0,0,1,0,0,0,1,1,1,1,1
South Valley Park,3.0,377,1,4.1,hike61,1,0,0,1,1,0,0,0,0,1,0,1
Pike National Forest,7.6,3491,3,4.6,hike62,1,0,0,1,0,1,1,1,1,1,1,1
Boulder Mountain Park,6.9,1483,2,4.1,hike63,0,0,1,1,1,0,0,0,0,1,1,1
Mount Falcon Park,3.1,597,1,4.1,hike64,1,0,0,1,1,0,0,0,0,0,0,0
Pike National Forest,5.8,1853,2,4.2,hike65,0,1,0,1,1,0,1,0,0,1,0,1
Roxborough State Park,2.2,272,1,4.2,hike66,1,0,0,0,1,0,0,0,0,1,1,1
Eldorado Canyon State Park,3.5,1009,2,4.1,hike67,1,0,0,1,1,0,0,0,0,1,1,1
Garden of the Gods,4.2,785,1,4.1,hike68,1,0,0,1,1,0,0,0,0,1,1,1
Deer Creek Canyon Park,6.0,1446,2,4.1,hike69,1,0,0,1,0,0,1,0,0,0,0,1
Rocky Mountain National Park,5.7,1120,2,4.5,hike70,0,1,0,0,0,0,1,0,1,1,1,1
North Cheyenne Park,0.1,30,1,3.6,hike71,0,1,0,1,1,0,1,0,0,1,1,1
Colorow Mountain Park,6.9,1758,3,3.8,hike72,0,1,0,1,0,0,0,0,0,1,1,1
Walker Ranch Park,7.5,1943,3,4.4,hike73,1,0,0,1,0,0,0,0,0,1,1,1
Pike National Forest,4.1,1474,3,3.9,hike74,0,1,0,1,0,0,0,0,0,1,1,1
Palmer Park,7.9,1080,2,4.1,hike75,1,0,0,1,1,0,0,0,0,1,1,1
Uncompahgre National Forest,6.3,2491,2,4.9,hike76,0,1,0,1,0,1,1,1,1,1,1,1
White River National Forest,4.0,972,1,4.8,hike77,0,1,0,1,1,0,0,0,0,1,0,1
Arapaho National Forest,7.6,3622,3,4.3,hike78,1,0,0,1,0,0,0,1,0,1,1,1
Devil's Backbone Open Space,4.4,617,1,3.9,hike79,0,1,0,1,1,0,0,0,0,1,1,1
Mount Falcon Park,9.1,2036,1,3.9,hike80,1,0,0,1,1,0,0,0,0,1,1,1
Chatfield State Park,12.4,1049,1,3.8,hike81,0,1,0,0,1,0,0,1,0,1,1,0
Arapaho National Forest,6.2,1821,2,4.5,hike82,1,0,0,1,0,0,0,0,1,1,1,1
Arapaho National Forest,13.2,4500,3,4.7,hike83,0,1,0,1,0,0,0,1,0,0,1,1
Centennial Park,2.1,1002,1,4.1,hike84,1,0,0,1,1,0,0,0,0,1,0,1
Lory State Park,3.0,1163,2,4.2,hike85,0,1,0,1,0,0,0,0,0,1,1,1
Rocky Mountain National Park,7.3,1576,2,4.2,hike86,0,1,0,0,0,0,1,1,1,1,1,1
White Ranch Open Space Park,11.9,2723,3,4.0,hike87,1,0,0,1,0,0,0,0,0,0,0,0
Arapaho National Forest,8.1,1960,2,4.3,hike88,0,1,0,1,0,0,0,1,0,1,0,1
Golden Gate Canyon State Park,6.8,1687,2,4.5,hike89,1,0,0,1,0,0,0,1,0,1,1,1
Bear Creek Regional Park,5.2,2033,2,4.3,hike90,1,0,0,1,0,0,0,0,0,1,1,1
Boulder Mountain Park,7.8,3084,3,4.5,hike91,0,1,0,0,0,0,0,0,0,1,1,1
Pike National Forest,2.2,914,2,4.3,hike92,0,1,0,1,1,0,0,0,0,1,1,1
Pike National Forest,4.1,830,1,4.2,hike93,0,1,0,1,1,0,0,1,1,1,1,1
Pike National Forest,4.6,1198,2,4.5,hike94,0,1,0,1,1,0,0,0,0,1,1,1
Roosevelt National Forest,3.8,1465,2,4.1,hike95,0,1,0,1,0,0,0,0,0,1,1,1
Pike National Forest,6.6,2155,2,4.3,hike96,0,1,0,0,0,0,0,0,1,1,1,1
Routt National Forest,0.8,124,2,4.3,hike97,1,0,0,1,1,0,1,1,0,1,0,1
Deer Creek Canyon Park,9.8,2189,2,4.2,hike98,1,0,0,1,0,0,0,1,0,1,1,1
Roosevelt National Forest,6.3,1529,2,4.8,hike99,0,1,0,1,1,0,1,1,1,1,1,1
Pike National Forest,12.8,4612,3,4.2,hike100,0,1,0,1,0,1,1,1,1,0,1,1
Arapaho National Forest,9.0,2887,2,4.5,hike101,0,1,0,1,0,1,1,1,1,1,1,1
Pike National Forest,2.6,589,2,4.1,hike102,0,1,0,1,1,0,1,1,0,0,1,1
Maroon Bells Snowmass Wilderness,25.2,8415,2,4.8,hike103,1,0,0,1,0,1,1,1,1,1,1,1
White River National Forest,20.2,4783,3,4.7,hike104,0,1,0,0,0,1,1,1,0,1,1,1
Rocky Mountain National Park,3.7,895,2,4.5,hike105,0,1,0,0,0,0,1,0,1,0,1,1
Rocky Mountain National Park,2.9,625,2,4.1,hike106,1,0,0,0,1,0,0,0,1,0,1,1
Roosevelt National Forest,3.6,466,1,4.5,hike107,0,1,0,1,1,1,0,1,0,1,1,1
"Golden, Colorado",13.4,1906,2,3.9,hike108,1,0,0,1,0,0,0,0,0,1,1,1
Boulder Mountain Park,1.2,450,1,3.9,hike109,0,1,0,0,1,0,0,0,0,1,0,1
Roxborough State Park,6.3,1130,2,4.1,hike110,0,1,0,0,0,0,0,0,0,1,1,1
Castlewood Canyon State Park,6.0,851,1,4.2,hike111,1,0,0,1,1,0,1,1,0,1,1,1
San Isabel National Forest,22.6,9615,3,4.6,hike112,0,1,0,1,0,1,0,1,0,1,1,1
Bear Creek Park,8.1,2987,3,4.4,hike113,1,0,0,0,0,0,0,0,0,1,0,1
Arapaho National Forest,3.3,700,2,4.5,hike114,0,1,0,0,0,1,0,1,1,1,0,1
North Cheyenne Park,6.8,1746,1,4.0,hike115,0,1,0,1,1,0,1,1,0,1,1,1
Rocky Mountain National Park,9.7,2275,2,5.0,hike116,1,0,0,0,0,0,1,1,1,1,1,1
Elk Meadow Park,4.2,646,1,4.1,hike117,1,0,0,1,1,0,0,0,0,1,1,1
Rocky Mountain National Park,8.4,2880,3,4.5,hike118,0,1,0,0,0,0,0,0,0,0,0,1
Madema Park,8.7,1843,3,4.0,hike119,1,0,0,1,0,0,0,0,0,1,1,1
Rocky Mountain National Park,6.1,1038,2,4.2,hike120,0,1,0,0,0,0,1,0,0,0,1,1
Rocky Mountain National Park,5.9,1455,2,4.2,hike121,0,1,0,0,0,0,0,0,0,0,1,1
Arapaho National Forest,7.9,3675,1,4.3,hike122,1,0,0,1,1,0,0,1,0,1,1,1
Ute Valley Park,3.5,433,2,4.1,hike123,1,0,0,1,1,0,0,1,0,1,1,1
Rocky Mountain National Park,7.4,758,1,4.3,hike124,0,1,0,0,1,0,1,1,0,1,1,0
Lair o' the Bear Park,14.5,2528,2,4.2,hike125,0,1,0,1,0,0,0,0,0,1,1,1
Mount Falcon Park,4.1,624,2,4.1,hike126,1,0,0,1,1,0,0,0,0,1,1,1
Cascade Chipita Park,6.9,1360,2,4.1,hike127,1,0,0,0,1,1,0,0,0,1,0,1
Roosevelt National Forest,6.7,997,1,4.1,hike128,1,0,0,0,1,1,0,0,1,1,0,1
White River National Forest,7.1,3247,3,4.5,hike129,0,1,0,1,0,0,0,0,0,0,1,1
Holy Cross Wilderness,4.8,1378,2,4.0,hike130,0,1,0,1,1,0,0,0,1,1,1,1
Boulder Mountain Park,2.7,772,2,4.4,hike131,0,1,0,1,0,0,0,0,0,1,0,1
Sunset Park,4.1,1378,2,3.9,hike132,1,0,0,1,1,0,0,1,1,1,0,1
Eldorado Canyon State Park,4.0,571,1,4.5,hike133,0,1,0,0,1,0,0,0,0,1,1,1
Roosevelt National Forest,7.9,2669,3,4.8,hike134,0,1,0,1,0,0,0,0,0,1,1,1
Bear Creek Lake Regional Park,9.6,759,1,3.3,hike135,1,0,0,1,0,1,0,1,1,0,0,0
Jefferson County Open Space,4.2,960,2,3.8,hike136,1,0,0,1,0,0,0,0,0,0,0,0
Pike National Forest,2.6,267,1,4.3,hike137,0,1,0,1,1,0,0,0,1,0,0,0
Walter Byron Memorial Park,3.2,1423,3,4.5,hike138,0,1,0,1,0,0,0,0,0,0,0,1
Golden Gate Canyon State Park,4.0,984,2,4.3,hike139,0,1,0,1,1,1,0,0,0,1,1,0
Meeker Park,5.8,1432,2,4.4,hike140,0,1,0,0,0,0,1,1,0,0,1,1
Roosevelt National Forest,2.6,472,1,4.5,hike141,1,0,0,1,1,0,1,1,1,0,0,1
Pike National Forest,6.9,1988,3,4.3,hike142,0,1,0,1,0,0,0,0,0,1,1,1
Holy Cross Wilderness,7.2,1652,2,4.8,hike143,0,1,0,1,0,1,1,1,1,1,1,1
Viestenz Smith Mountain Park,10.5,3274,2,4.1,hike144,0,1,0,1,0,0,0,0,0,1,1,1
Rocky Mountain National Park,9.4,2201,3,4.8,hike145,0,1,0,0,0,0,1,1,1,1,1,1
Golden Gate Canyon State Park,4.8,1114,2,4.2,hike146,1,0,0,0,1,0,0,0,0,1,0,1
Rocky Mountain National Park,0.8,43,1,3.9,hike147,1,0,0,0,1,0,0,0,1,0,1,1
Pike National Forest,4.8,2068,2,3.9,hike148,0,1,0,1,1,0,0,0,0,1,1,1
Maroon Bells Snowmass Wilderness,11.3,6032,2,4.8,hike149,0,1,0,1,0,0,0,1,1,1,0,1
Pike National Forest,8.5,3118,2,4.5,hike150,0,1,0,1,0,0,0,0,0,0,0,0
White Ranch Open Space Park,4.6,915,2,4.3,hike151,1,0,0,1,1,0,0,0,0,1,1,1
White River National Forest,12.5,6307,3,4.6,hike152,0,1,0,1,0,1,0,0,0,1,1,1
Pike National Forest,3.6,2101,3,4.3,hike153,0,1,0,1,0,0,1,1,0,1,1,1
Arapaho National Forest,6.6,981,1,4.5,hike154,0,1,0,1,1,0,1,1,1,1,1,1
Rocky Mountain National Park,2.8,483,2,4.6,hike155,0,1,0,0,0,1,1,1,1,1,1,1
Beverly Heights Park,8.0,1732,2,3.8,hike156,0,1,0,1,0,0,0,0,0,1,1,1
Garden of the Gods,2.5,415,2,4.1,hike157,1,0,0,1,1,0,0,0,0,1,1,1
South Table Mountain Park,9.3,1259,1,3.9,hike158,1,0,0,0,1,0,0,0,0,1,1,1
Red Rock Canyon Open Space,4.1,557,2,3.9,hike159,1,0,0,0,1,0,0,0,0,1,1,1
Betasso Preserve,3.3,571,2,3.9,hike160,1,0,0,1,1,0,0,0,1,1,1,1
Pike National Forest,3.7,1323,2,4.9,hike161,0,1,0,1,1,0,0,0,0,1,1,1
Pike National Forest,4.9,435,1,4.1,hike162,1,0,0,1,1,0,0,0,0,1,1,1
Pence Park,1.8,764,2,4.3,hike163,0,1,0,1,0,0,0,0,0,1,1,1
Roxborough State Park,2.8,530,1,4.2,hike164,1,0,0,0,1,0,0,0,0,1,1,1
Staunton State Park,11.6,2225,1,4.0,hike165,1,0,0,1,1,0,1,1,1,1,1,1
Roosevelt National Forest,2.7,547,2,3.8,hike166,1,0,0,1,0,0,0,0,0,1,1,1
Rocky Mountain National Park,8.5,2088,2,4.7,hike167,0,1,0,0,0,1,0,1,1,1,0,1
Eagles Nest Wilderness,8.5,2916,3,4.6,hike168,0,1,0,1,0,0,1,0,1,1,1,1
Reynolds Ranch County Park,2.2,689,2,4.2,hike169,1,0,0,1,1,0,0,0,0,1,1,1
Red Rocks Park,3.2,1973,3,4.2,hike170,0,1,0,1,0,0,0,0,0,1,0,1
Fossil Ridge Wilderness,6.0,1546,2,4.4,hike171,0,1,0,1,1,1,0,0,1,1,0,1
Roosevelt National Forest,3.5,297,1,3.5,hike172,1,0,0,1,1,0,0,0,0,1,1,1
Arapaho National Forest,4.1,546,2,4.3,hike173,1,0,0,1,0,0,1,1,1,1,1,1
White River National Forest,6.2,1621,2,4.4,hike174,0,1,0,0,0,0,0,0,0,1,1,1
Mount Massive Wilderness,8.8,4463,3,4.7,hike175,0,1,0,1,0,1,0,0,0,1,1,1
Eagles Nest Wilderness,11.6,2586,2,4.8,hike176,0,1,0,1,0,0,1,1,0,1,1,1
Platt Park,0.4,94,1,3.3,hike177,0,1,0,1,1,0,1,0,0,1,1,1
Roosevelt National Forest,10.8,2070,2,4.6,hike178,0,1,0,1,0,0,0,1,1,1,1,1
Boulder Mountain Park,3.4,1458,3,4.0,hike179,1,0,0,1,0,0,0,0,0,1,0,1
Rocky Mountain National Park,6.2,1981,2,4.5,hike180,0,1,0,0,0,0,0,0,0,1,1,1
Bluffs Regional Park,2.8,410,1,4.1,hike181,1,0,0,1,1,0,0,0,0,0,0,1
Jefferson County Open Space,13.3,2665,2,3.8,hike182,1,0,0,1,0,0,0,1,0,1,1,1
Pike National Forest,3.5,2385,2,3.8,hike183,0,1,0,0,0,0,0,0,0,0,0,0
Rocky Mountain National Park,6.1,846,1,3.8,hike184,1,0,0,0,1,0,0,0,1,1,1,1
Roosevelt National Forest,1.9,254,1,4.5,hike185,0,1,0,1,1,0,0,1,1,1,1,1
Bohn Park,3.9,530,2,3.9,hike186,1,0,0,1,1,0,0,0,0,1,1,1
White River National Forest,8.7,1426,2,3.8,hike187,0,1,0,1,0,0,1,1,0,1,0,1
Pike National Forest,15.3,3473,2,4.3,hike188,0,1,0,1,0,1,0,0,1,1,0,0
Ajax Park,5.5,3188,3,4.7,hike189,0,1,0,0,0,0,0,0,0,1,1,1
Lair o' the Bear Park,1.6,291,1,3.5,hike190,1,0,0,1,1,0,0,1,0,1,1,1
Chatfield State Park,6.9,2361,3,4.1,hike191,0,1,0,0,0,0,0,0,0,1,1,1
Golden Gate Canyon State Park,6.4,1837,3,4.4,hike192,1,0,0,1,0,0,0,0,0,0,1,1
San Juan National Forest,9.2,1843,2,4.4,hike193,0,1,0,1,0,1,1,1,0,1,1,1
"Fort Collins, Colorado",4.1,593,1,4.3,hike194,0,1,0,0,1,0,0,0,0,0,1,1
South Dinosaur Park,7.1,1324,2,3.8,hike195,1,0,0,1,0,0,0,0,0,0,0,0
Elk Meadow Park,10.3,2431,2,4.2,hike196,1,0,0,1,0,0,0,0,0,1,1,1
Palmer Park,4.1,633,2,4.1,hike197,1,0,0,1,1,0,0,0,0,1,1,1
Golden Gate Canyon State Park,3.3,830,2,4.1,hike198,1,0,0,1,0,1,0,0,0,1,0,1
Arapaho National Forest,2.3,1142,3,4.6,hike199,0,1,0,1,0,0,0,0,1,1,1,1
White River National Forest,8.5,2598,3,4.5,hike200,0,1,0,1,0,0,0,0,1,1,1,1
"Boulder, Colorado",8.1,3143,3,4.3,hike201,1,0,0,1,0,0,0,0,0,1,1,1
Pike National Forest,5.5,1410,2,4.4,hike202,0,1,0,1,0,0,0,0,0,0,0,0
"Morrison, Colorado",3.2,1973,2,3.9,hike203,0,1,0,1,0,0,0,0,0,1,0,1
Roosevelt National Forest,4.2,1135,2,5.0,hike204,0,1,0,0,0,0,0,0,0,1,1,1
Golden Gate Canyon State Park,6.1,1691,1,4.4,hike205,0,1,0,0,1,0,0,1,0,1,1,1
Garden of the Gods,0.6,120,1,4.0,hike206,1,0,0,1,1,0,0,0,0,1,0,1
Dillon Reservoir Recreation Area,2.7,642,1,3.8,hike207,0,1,0,1,1,0,0,0,1,0,0,1
"Golden, Colorado",4.6,1017,2,3.8,hike208,1,0,0,1,0,0,0,0,0,1,1,1
Ofallon Municipal Park,3.7,978,2,3.8,hike209,1,0,0,0,0,0,0,0,0,1,1,1
Uncompahgre Wilderness,4.5,1170,2,4.5,hike210,0,1,0,1,1,1,1,1,1,1,1,1
Pike National Forest,13.7,1347,2,4.3,hike211,1,0,0,1,0,1,0,0,1,1,1,1
Roosevelt National Forest,10.0,1602,2,4.0,hike212,1,0,0,0,1,0,0,0,0,1,1,1
Roosevelt National Forest,1.4,453,2,4.5,hike213,0,1,0,1,1,0,0,0,0,1,1,1
Meyer Ranch Park,3.9,916,1,3.8,hike214,1,0,0,0,1,0,0,0,0,1,1,0
Boulder Mountain Park,3.9,1281,2,4.3,hike215,1,0,0,1,0,0,0,0,0,0,0,1
San Juan National Forest,3.1,494,1,4.5,hike216,1,0,0,1,1,0,0,0,1,0,0,0
"Breckenridge, Colorado",1.8,378,2,4.4,hike217,0,1,0,1,0,0,1,1,1,1,1,0
San Juan National Forest,5.9,1570,2,4.4,hike218,1,0,0,1,0,0,0,0,0,0,0,1
Rocky Mountain National Park,0.8,136,1,4.0,hike219,1,0,0,0,1,0,1,1,0,0,1,1
Arapaho National Forest,3.0,1115,2,4.5,hike220,0,1,0,1,0,0,0,1,0,1,0,1
Fillius Park,4.5,1194,2,3.7,hike221,1,0,0,1,1,0,1,0,0,1,1,1
White River National Forest,5.6,2160,3,4.7,hike222,0,1,0,1,0,1,1,1,1,1,1,1
White River National Forest,7.9,1914,2,4.1,hike223,0,1,0,1,0,0,0,1,0,1,1,1
Deer Creek Canyon Park,2.1,240,1,3.9,hike224,1,0,0,1,1,0,0,0,1,1,0,0
Roosevelt National Forest,9.7,2102,3,4.9,hike225,0,1,0,0,0,0,1,0,1,1,1,1
Rocky Mountain National Park,1.1,225,1,4.2,hike226,1,0,0,0,1,0,0,0,1,1,1,0
East Boulder Community Park,6.6,188,1,3.6,hike227,0,1,0,1,1,0,0,1,0,1,1,1
Golden Gate Canyon State Park,8.1,1870,2,4.1,hike228,1,0,0,0,0,1,0,0,0,1,1,1
Arapaho National Forest,4.3,1096,2,4.2,hike229,0,1,0,1,0,0,0,0,1,1,1,1
Pike National Forest,4.4,502,2,3.9,hike230,1,0,0,1,1,0,0,0,0,1,0,1
Mount Evans Wilderness,3.6,1926,3,4.4,hike231,1,0,0,1,0,0,0,0,1,1,1,1
Indian Peaks Wilderness,12.5,3656,2,4.4,hike232,0,1,0,1,0,0,0,0,0,1,1,1
White River National Forest,15.5,1917,3,4.3,hike233,0,1,0,1,0,0,1,1,1,1,1,1
Arapaho National Forest,5.7,1052,1,4.0,hike234,0,1,0,1,1,0,0,1,1,1,1,1
Meyer Ranch Park,4.1,906,2,4.0,hike235,0,1,0,1,0,0,0,0,0,1,1,1
San Isabel National Forest,3.0,1180,2,4.6,hike236,0,1,0,0,0,0,0,0,0,0,0,0
San Isabel National Forest,5.8,1737,2,4.4,hike237,0,1,0,1,1,0,0,1,0,0,0,1
Gunnison National Forest,2.3,494,1,4.5,hike238,0,1,0,1,1,0,1,1,1,1,1,1
Roosevelt National Forest,7.6,2712,3,4.3,hike239,0,1,0,1,0,0,0,0,1,1,0,1
Rocky Mountain National Park,8.7,2138,2,4.6,hike240,0,1,0,0,0,1,0,0,1,1,1,1
Garden of the Gods,5.8,1468,2,3.7,hike241,0,1,0,1,1,0,1,1,0,0,0,1
Mt Massive Wilderness Area,12.9,4556,3,4.6,hike242,0,1,0,1,0,1,0,0,0,1,1,1
Rocky Mountain National Park,0.3,98,1,4.3,hike243,0,1,0,0,1,0,1,1,0,1,1,0
Winter Park,5.8,1047,1,3.5,hike244,1,0,0,1,1,0,0,0,0,0,0,0
Rocky Mountain National Park,16.0,3411,3,4.8,hike245,0,1,0,0,0,0,0,1,1,0,0,1
Arapaho National Forest,7.3,1228,2,4.6,hike246,0,1,0,1,0,0,0,0,1,1,1,0
James Peak Wilderness,6.8,1692,2,4.3,hike247,0,1,0,1,0,0,1,1,1,1,1,0
Rio Grande National Forest,0.9,233,2,4.4,hike248,0,1,0,1,1,0,1,1,0,1,0,1
Rocky Mountain National Park,9.6,3282,3,4.8,hike249,0,1,0,0,0,0,0,0,1,1,1,1
Eagles Nest Wilderness,6.0,871,2,4.4,hike250,0,1,0,0,1,0,1,1,1,1,1,1
San Isabel National Forest,4.3,890,1,4.3,hike251,0,1,0,1,1,0,1,1,1,1,1,1
North Cheyenne Park,3.0,1387,2,4.5,hike252,0,1,0,0,0,0,0,0,0,1,1,1
Rocky Mountain National Park,8.3,1371,2,4.4,hike253,0,0,1,0,0,1,1,1,1,1,1,1
Arapaho National Forest,7.3,2008,2,4.7,hike254,0,1,0,1,0,0,0,0,0,1,1,1
Eagles Nest Wilderness,6.8,1656,3,4.1,hike255,0,1,0,1,0,0,0,1,1,1,1,1
"Idaho Springs, Colorado",27.1,7561,1,4.7,hike256,0,0,1,1,0,0,0,0,1,0,0,0
Pike National Forest,0.7,303,1,4.0,hike257,0,1,0,1,1,0,1,0,0,1,1,1
White River National Forest,8.3,1920,1,3.9,hike258,0,1,0,0,0,1,0,0,1,0,0,0
Rocky Mountain National Park Wilderness,10.3,2044,2,4.5,hike259,0,1,0,0,0,1,1,1,1,1,1,1
Pike National Forest,3.0,589,2,4.6,hike260,0,1,0,1,0,0,0,0,0,1,1,1
San Isabel National Forest,4.0,1190,2,4.7,hike261,0,1,0,1,1,1,1,1,1,1,1,1
Castlewood Canyon State Park,4.1,382,2,4.3,hike262,1,0,0,0,0,0,0,0,0,0,0,0
White River National Forest,2.4,256,1,4.5,hike263,1,0,0,1,1,0,1,0,1,1,1,0
Kingdow Park,5.9,990,2,4.1,hike264,0,1,0,0,1,1,0,1,0,1,1,1
Hunter Fryingpan Wilderness,5.3,1251,2,4.6,hike265,1,0,0,1,1,0,1,1,0,1,0,1
San Isabel National Forest,4.2,966,2,4.9,hike266,1,0,0,1,0,1,0,0,0,1,1,1
Routt National Forest,8.9,1609,2,4.5,hike267,0,1,0,1,1,0,0,0,0,0,0,0
Arapaho National Forest,8.6,2185,3,4.5,hike268,0,1,0,0,0,1,0,1,1,0,1,1
White River National Forest,2.8,439,1,3.9,hike269,0,1,0,1,1,0,0,0,0,1,0,1
