hike_id,variable,value
hike5,user10108,4
hike107,user10109,4
hike84,user10109,4
hike288,user1011,5
hike150,user10110,5
hike33,user10110,1
hike358,user10110,2
hike94,user10110,5
hike164,user10111,5
hike26,user10111,4
hike373,user10111,4
hike432,user10111,5
hike86,user10111,4
hike44,user10112,4
hike65,user10112,3
hike52,user10113,4
hike64,user10113,4
hike348,user10114,4
hike52,user10115,4
hike263,user10116,5
hike267,user10116,4
hike52,user10116,4
hike97,user10116,4
hike9,user10117,4
hike167,user10118,4
hike46,user10119,5
hike9,user10119,4
hike14,user1012,5
hike140,user1012,5
hike20,user1012,5
hike226,user1012,4
hike294,user1012,4
hike30,user1012,5
hike86,user1012,5
hike60,user10120,4
hike110,user10121,4
hike170,user10122,4
hike18,user10122,4
hike173,user10123,5
hike56,user10124,5
hike268,user10125,5
hike271,user10125,5
hike366,user10126,4
hike12,user10127,5
hike213,user10127,4
hike291,user10128,4
hike75,user10129,5
hike210,user1013,4
hike280,user10130,3
hike183,user10131,4
hike3,user10132,5
hike8,user10133,5
hike40,user10134,5
hike316,user10135,4
hike15,user10136,4
hike52,user10136,4
hike9,user10136,5
hike219,user10137,4
hike2,user10138,2
hike21,user10139,5
hike325,user1014,4
hike16,user10140,3
hike142,user10141,5
hike40,user10141,4
hike80,user10142,4
hike89,user10142,4
hike10,user10143,4
hike0,user10144,3
hike285,user10145,5
hike95,user10146,4
hike358,user10147,4
hike100,user10148,5
hike102,user10148,5
hike3,user10148,5
hike33,user10148,5
hike43,user10148,5
hike92,user10148,5
hike192,user10149,4
hike392,user10149,4
hike67,user10149,3
hike1,user1015,4
hike254,user1015,4
hike27,user1015,5
hike309,user1015,5
hike418,user1015,4
hike1,user10150,3
hike13,user10150,4
hike225,user10150,5
hike29,user10150,4
hike291,user10150,4
hike61,user10151,4
hike23,user10152,5
hike281,user10153,5
hike22,user10154,5
hike38,user10155,5
hike127,user10156,4
hike3,user10156,5
hike33,user10156,4
hike11,user10157,4
hike5,user10158,5
hike33,user10159,5
hike56,user1016,4
hike177,user10160,1
hike18,user10160,4
hike200,user10161,4
hike9,user10162,5
hike233,user10163,4
hike87,user10164,5
hike122,user10165,5
hike42,user10165,4
hike0,user10166,5
hike190,user10166,4
hike2,user10166,1
hike23,user10166,4
hike262,user10166,4
hike80,user10166,3
hike9,user10166,5
hike22,user10167,4
hike39,user10167,3
hike4,user10167,4
hike64,user10167,5
hike32,user10168,4
hike64,user10168,4
hike66,user10168,3
hike13,user10169,5
hike176,user1017,5
hike250,user1017,4
hike279,user1017,4
hike428,user1017,4
hike5,user1017,5
hike8,user10170,5
hike29,user10171,4
hike47,user10172,5
hike157,user10173,3
hike27,user10174,5
hike338,user10175,5
hike142,user10176,4
hike75,user10176,5
hike380,user10177,5
hike36,user10178,5
hike156,user10179,3
hike434,user1018,5
hike283,user10180,5
hike137,user10181,5
hike72,user10182,5
hike99,user10183,5
hike10,user10184,3
hike186,user10184,3
hike25,user10184,4
hike29,user10184,5
hike3,user10184,4
hike41,user10184,3
hike43,user10184,4
hike85,user10184,3
hike437,user10185,5
hike84,user10186,3
hike434,user10187,5
hike314,user10188,5
hike99,user10189,5
hike133,user1019,4
hike84,user1019,5
hike168,user10190,5
hike7,user10191,4
hike131,user10192,4
hike179,user10192,5
hike201,user10192,4
hike295,user10192,3
hike73,user10192,5
hike15,user10193,4
hike122,user10194,4
hike130,user10194,3
hike31,user10194,2
hike36,user10194,4
hike76,user10194,5
hike8,user10194,4
hike6,user10195,4
hike223,user10196,5
hike183,user10197,5
hike336,user10198,4
hike234,user10199,3
hike2,user102,4
hike295,user1020,3
hike5,user1020,5
hike108,user10200,3
hike18,user10200,4
hike208,user10200,3
hike6,user10200,4
hike98,user10200,4
hike15,user10201,5
hike77,user10202,5
hike22,user10203,4
hike195,user10204,5
hike30,user10205,5
hike70,user10205,5
hike413,user10206,4
hike207,user10207,4
hike217,user10207,3
hike52,user10207,4
hike21,user10208,4
hike9,user10208,4
hike276,user10209,4
hike347,user1021,5
hike290,user10210,1
hike6,user10210,4
hike256,user10211,5
hike46,user10212,5
hike21,user10213,4
hike182,user10214,4
hike42,user10214,4
hike7,user10215,4
hike9,user10216,4
hike41,user10217,3
hike179,user10218,4
hike7,user10218,4
hike106,user10219,5
hike121,user10219,3
hike109,user1022,3
hike110,user1022,3
hike138,user1022,3
hike141,user1022,4
hike164,user1022,3
hike175,user1022,4
hike185,user1022,4
hike231,user1022,4
hike235,user1022,3
hike24,user1022,4
hike25,user1022,3
hike27,user1022,5
hike28,user1022,4
hike29,user1022,2
hike299,user1022,3
hike30,user1022,4
hike300,user1022,4
hike31,user1022,5
hike32,user1022,4
hike333,user1022,5
hike34,user1022,4
hike36,user1022,5
hike421,user1022,1
hike46,user1022,4
hike47,user1022,4
hike51,user1022,4
hike66,user1022,3
hike67,user1022,3
hike70,user1022,5
hike83,user1022,5
hike9,user1022,4
hike95,user1022,3
hike99,user1022,4
hike86,user10220,4
hike102,user10221,4
hike32,user10221,5
hike5,user10221,4
hike364,user10222,5
hike60,user10223,5
hike39,user10224,3
hike43,user10225,5
hike385,user10226,5
hike1,user10227,4
hike168,user10227,5
hike2,user10227,5
hike7,user10227,4
hike17,user10228,4
hike26,user10229,3
hike271,user10229,4
hike62,user10229,5
hike88,user10229,4
hike9,user10229,4
hike67,user1023,4
hike110,user10230,3
hike335,user10230,4
hike43,user10230,3
hike107,user10231,5
hike92,user10232,4
hike62,user10233,5
hike135,user10234,3
hike3,user10234,5
hike51,user10234,3
hike152,user10235,5
hike1,user10236,4
hike21,user10236,5
hike134,user10237,5
hike8,user10237,5
hike70,user10238,5
hike49,user10239,5
hike236,user1024,5
hike130,user10240,4
hike15,user10240,4
hike223,user10240,0
hike250,user10240,4
hike5,user10240,0
hike144,user10241,4
hike29,user10242,5
hike69,user10242,5
hike80,user10242,5
hike17,user10243,5
hike303,user10243,5
hike68,user10243,4
hike184,user10244,3
hike7,user10245,4
hike194,user10246,4
hike289,user10247,4
hike11,user10248,4
hike115,user10249,4
hike158,user10249,4
hike2,user10249,4
hike330,user10249,3
hike379,user10249,3
hike38,user10249,5
hike68,user10249,3
hike72,user10249,4
hike94,user10249,5
hike223,user1025,5
hike5,user1025,5
hike438,user10250,3
hike246,user10251,4
hike129,user10252,5
hike214,user10253,3
hike438,user10254,5
hike248,user10255,5
hike207,user10256,3
hike22,user10256,1
hike19,user10257,4
hike72,user10257,5
hike180,user10258,5
hike223,user10259,4
hike9,user1026,5
hike37,user10260,4
hike82,user10260,4
hike92,user10261,4
hike24,user10262,5
hike19,user10263,4
hike11,user10264,5
hike110,user10264,4
hike9,user10265,4
hike35,user10266,4
hike210,user10267,4
hike376,user10267,5
hike403,user10267,5
hike289,user10268,4
hike162,user10269,5
hike262,user10269,4
hike39,user10269,4
hike43,user10269,4
hike61,user10269,4
hike430,user1027,4
hike20,user10270,5
hike58,user10270,5
hike173,user10271,5
hike0,user10272,5
hike2,user10272,4
hike5,user10272,5
hike3,user10273,5
hike40,user10273,3
hike44,user10273,3
hike65,user10273,3
hike8,user10274,5
hike96,user10275,3
hike28,user10276,4
hike180,user10277,4
hike342,user10277,5
hike4,user10277,3
hike301,user10278,5
hike175,user10279,5
hike11,user1028,5
hike44,user10280,5
hike144,user10281,4
hike329,user10282,5
hike171,user10283,5
hike334,user10283,5
hike140,user10284,5
hike9,user10284,4
hike5,user10285,4
hike1,user10286,5
hike75,user10287,5
hike10,user10288,4
hike123,user10288,3
hike137,user10288,4
hike3,user10288,5
hike357,user10288,5
hike44,user10288,4
hike65,user10288,5
hike94,user10288,5
hike22,user10289,2
hike239,user10289,4
hike27,user10289,5
hike37,user10289,5
hike58,user10289,3
hike60,user10289,3
hike85,user10289,3
hike111,user1029,4
hike21,user10290,5
hike46,user10291,5
hike15,user10292,5
hike119,user10293,4
hike185,user10293,4
hike29,user10293,4
hike326,user10293,3
hike34,user10293,3
hike36,user10293,4
hike57,user10293,5
hike0,user103,3
hike7,user1030,4
hike84,user1030,4
hike320,user1031,4
hike150,user1032,5
hike354,user1033,5
hike186,user1034,4
hike165,user1035,4
hike169,user1036,4
hike160,user1037,4
hike244,user1037,3
hike93,user1038,4
hike15,user1039,4
hike235,user1039,3
hike325,user1039,5
hike45,user1039,5
hike8,user1039,5
hike325,user104,4
hike42,user1040,5
hike252,user1041,5
hike2,user1042,4
hike3,user1042,5
hike15,user1043,4
hike2,user1044,4
hike18,user1045,4
hike2,user1045,4
hike69,user1045,4
hike32,user1046,5
hike137,user1047,4
hike57,user1048,4
hike105,user1049,5
hike106,user1049,4
hike14,user1049,5
hike57,user1049,5
hike252,user105,4
hike3,user105,5
hike44,user105,4
hike428,user1050,4
hike24,user1051,4
hike271,user1052,5
hike3,user1053,5
hike33,user1053,5
hike135,user1054,5
hike190,user1054,4
hike171,user1055,5
hike40,user1055,4
hike62,user1056,5
hike0,user1057,5
hike170,user1057,5
hike30,user1057,4
hike138,user1058,5
hike82,user1058,4
hike298,user1059,3
hike261,user106,5
hike399,user106,4
hike118,user1060,4
hike120,user1060,3
hike14,user1060,4
hike145,user1060,5
hike167,user1060,4
hike184,user1060,3
hike308,user1060,3
hike314,user1060,4
hike34,user1060,5
hike37,user1060,5
hike442,user1060,3
hike57,user1060,5
hike60,user1060,4
hike79,user1060,3
hike85,user1060,3
hike14,user1061,4
hike304,user1061,4
hike84,user1061,4
hike86,user1062,5
hike207,user1063,4
hike28,user1063,3
hike285,user1064,4
hike105,user1065,5
hike27,user1065,4
hike4,user1065,4
hike96,user1066,5
hike130,user1067,4
hike15,user1067,4
hike288,user1067,4
hike5,user1067,5
hike218,user1068,5
hike47,user1069,4
hike109,user107,4
hike18,user1070,4
hike32,user1070,4
hike376,user1071,5
hike271,user1072,5
hike325,user1073,5
hike52,user1074,4
hike15,user1075,5
hike52,user1076,3
hike109,user1077,5
hike20,user1077,5
hike52,user1077,4
hike8,user1077,5
hike9,user1077,5
hike10,user1078,4
hike74,user1078,4
hike75,user1078,5
hike2,user1079,4
hike43,user108,4
hike11,user1080,5
hike13,user1081,4
hike178,user1081,4
hike8,user1081,5
hike72,user1082,4
hike61,user1083,5
hike46,user1084,5
hike48,user1084,5
hike57,user1084,4
hike349,user1085,5
hike5,user1086,5
hike265,user1087,5
hike167,user1088,5
hike184,user1088,3
hike226,user1088,4
hike253,user1088,3
hike306,user1088,4
hike4,user1088,4
hike57,user1088,4
hike86,user1088,4
hike60,user1089,4
hike315,user109,5
hike188,user1090,4
hike20,user1091,4
hike296,user1091,4
hike364,user1092,4
hike356,user1093,5
hike11,user1094,4
hike110,user1094,4
hike128,user1094,4
hike147,user1094,4
hike186,user1094,3
hike30,user1094,5
hike345,user1094,5
hike35,user1094,4
hike355,user1094,4
hike435,user1094,4
hike6,user1094,4
hike7,user1094,4
hike79,user1094,4
hike84,user1094,4
hike94,user1094,4
hike160,user1095,4
hike213,user1095,5
hike124,user1096,5
hike30,user1096,4
hike49,user1097,5
hike7,user1098,4
hike45,user1099,5
hike11,user11,5
hike39,user110,3
hike41,user110,4
hike31,user1100,4
hike374,user1101,4
hike45,user1102,4
hike142,user1103,4
hike108,user1104,4
hike18,user1104,4
hike29,user1104,3
hike112,user1105,5
hike58,user1106,5
hike15,user1107,4
hike5,user1107,5
hike214,user1108,4
hike150,user1109,5
hike290,user111,3
hike133,user1110,3
hike151,user1110,5
hike61,user1110,5
hike67,user1110,4
hike69,user1110,4
hike26,user1111,4
hike131,user1112,5
hike67,user1113,4
hike79,user1113,4
hike17,user1114,4
hike1,user1115,5
hike143,user1116,5
hike59,user1117,5
hike1,user1118,4
hike12,user1119,5
hike21,user1119,5
hike334,user1119,5
hike46,user1119,5
hike66,user1119,5
hike83,user1119,5
hike139,user112,4
hike6,user1120,3
hike80,user1120,4
hike81,user1120,5
hike52,user1121,5
hike67,user1122,4
hike31,user1123,4
hike53,user1124,3
hike108,user1125,4
hike19,user1125,5
hike22,user1126,4
hike310,user1126,5
hike82,user1126,5
hike11,user1127,5
hike185,user1127,5
hike23,user1127,5
hike30,user1127,4
hike306,user1127,5
hike35,user1127,5
hike39,user1127,4
hike57,user1127,5
hike66,user1127,5
hike68,user1127,4
hike70,user1127,5
hike9,user1127,5
hike99,user1127,5
hike406,user1128,1
hike15,user1129,4
hike21,user1129,4
hike5,user1129,5
hike61,user1129,4
hike8,user1129,4
hike76,user113,5
hike18,user1130,4
hike61,user1131,3
hike10,user1132,5
hike45,user1133,5
hike234,user1134,4
hike14,user1135,4
hike7,user1135,5
hike33,user1136,5
hike71,user1136,5
hike69,user1137,5
hike88,user1138,4
hike269,user1139,4
hike21,user114,4
hike117,user1140,4
hike7,user1141,4
hike62,user1142,5
hike15,user1143,4
hike132,user1144,5
hike29,user1145,3
hike12,user1146,5
hike413,user1147,4
hike129,user1148,5
hike63,user1149,4
hike11,user115,5
hike94,user115,5
hike13,user1150,3
hike36,user1150,5
hike325,user1151,5
hike21,user1152,4
hike24,user1153,5
hike110,user1154,4
hike127,user1154,3
hike205,user1154,4
hike23,user1154,4
hike307,user1154,5
hike4,user1154,4
hike41,user1154,4
hike66,user1154,4
hike59,user1155,4
hike43,user1156,4
hike60,user1157,4
hike10,user1158,5
hike35,user1159,4
hike36,user116,5
hike2,user1160,4
hike67,user1160,3
hike10,user1161,4
hike115,user1161,3
hike211,user1161,3
hike270,user1161,4
hike278,user1161,3
hike344,user1161,4
hike90,user1161,4
hike0,user1162,4
hike0,user1163,4
hike169,user1163,4
hike209,user1164,4
hike234,user1164,3
hike31,user1164,5
hike64,user1164,4
hike33,user1165,5
hike81,user1166,5
hike315,user1167,5
hike60,user1168,5
hike82,user1169,5
hike3,user117,5
hike39,user117,4
hike41,user117,5
hike6,user117,4
hike72,user117,4
hike221,user1170,4
hike168,user1171,5
hike386,user1171,4
hike10,user1172,4
hike16,user1172,5
hike12,user1173,4
hike222,user1173,5
hike10,user1174,4
hike51,user1175,5
hike4,user1176,5
hike150,user1177,5
hike183,user1177,4
hike202,user1177,5
hike58,user1178,5
hike285,user1179,4
hike14,user118,4
hike165,user1180,4
hike120,user1181,4
hike145,user1181,5
hike184,user1181,4
hike86,user1181,4
hike288,user1182,4
hike1,user1183,5
hike126,user1183,4
hike136,user1183,4
hike158,user1183,3
hike2,user1183,5
hike208,user1183,3
hike24,user1183,5
hike10,user1184,5
hike16,user1184,5
hike25,user1185,5
hike220,user1186,5
hike2,user1187,5
hike137,user1188,4
hike211,user1188,4
hike3,user1188,5
hike71,user1188,3
hike51,user1189,4
hike179,user119,5
hike295,user119,5
hike105,user1190,4
hike168,user1190,5
hike1,user1191,5
hike28,user1191,4
hike333,user1191,4
hike51,user1191,5
hike73,user1191,3
hike51,user1192,5
hike6,user1192,5
hike115,user1193,4
hike22,user1194,5
hike85,user1194,5
hike44,user1195,4
hike124,user1196,4
hike237,user1197,5
hike124,user1198,4
hike65,user1198,4
hike40,user1199,4
hike48,user1199,4
hike52,user12,5
hike242,user120,5
hike369,user120,5
hike405,user120,1
hike9,user120,4
hike31,user1200,5
hike121,user1201,5
hike267,user1202,4
hike2,user1203,5
hike187,user1204,4
hike16,user1205,4
hike49,user1205,5
hike74,user1205,1
hike92,user1205,5
hike31,user1206,5
hike83,user1206,5
hike0,user1207,4
hike119,user1207,5
hike192,user1207,4
hike234,user1207,5
hike1,user1208,4
hike274,user1208,5
hike3,user1209,5
hike33,user1209,5
hike175,user121,4
hike9,user121,4
hike259,user1210,5
hike18,user1211,4
hike0,user1212,4
hike224,user1213,3
hike280,user1213,4
hike393,user1213,4
hike64,user1213,4
hike135,user1214,4
hike6,user1214,4
hike136,user1215,3
hike51,user1215,4
hike24,user1216,5
hike95,user1217,1
hike144,user1218,5
hike7,user1219,5
hike206,user122,3
hike16,user1220,3
hike164,user1220,5
hike66,user1220,4
hike158,user1221,4
hike210,user1222,5
hike69,user1222,4
hike1,user1223,4
hike17,user1224,5
hike93,user1224,4
hike80,user1225,3
hike166,user1226,4
hike208,user1226,3
hike0,user1227,5
hike119,user1227,4
hike156,user1227,4
hike3,user1227,5
hike405,user1227,4
hike72,user1227,4
hike14,user1228,4
hike94,user1229,5
hike197,user123,4
hike73,user1230,5
hike284,user1231,4
hike24,user1232,5
hike5,user1232,5
hike0,user1233,5
hike41,user1233,4
hike11,user1234,5
hike420,user1234,5
hike12,user1235,4
hike46,user1235,4
hike1,user1236,4
hike332,user1237,3
hike11,user1238,4
hike94,user1238,5
hike143,user1239,5
hike4,user124,4
hike95,user124,5
hike34,user1240,4
hike124,user1241,4
hike4,user1241,5
hike128,user1242,4
hike131,user1242,5
hike169,user1243,5
hike90,user1244,4
hike180,user1245,4
hike6,user1246,4
hike173,user1247,4
hike48,user1247,4
hike67,user1247,5
hike89,user1247,5
hike280,user1248,4
hike133,user1249,4
hike75,user125,5
hike76,user1250,4
hike0,user1251,5
hike292,user1252,3
hike379,user1252,3
hike8,user1253,5
hike92,user1254,5
hike3,user1255,5
hike434,user1256,5
hike162,user1257,4
hike21,user1257,5
hike282,user1257,4
hike29,user1257,3
hike441,user1257,5
hike5,user1257,4
hike6,user1257,5
hike120,user1258,4
hike132,user1259,3
hike240,user126,4
hike18,user1260,3
hike0,user1261,5
hike70,user1261,4
hike47,user1262,4
hike100,user1263,4
hike136,user1263,5
hike175,user1263,5
hike19,user1263,5
hike29,user1263,5
hike3,user1263,5
hike31,user1263,5
hike40,user1263,5
hike6,user1263,4
hike64,user1263,5
hike75,user1263,4
hike80,user1263,4
hike9,user1263,5
hike383,user1264,3
hike114,user1265,4
hike299,user1265,3
hike127,user1266,5
hike159,user1266,4
hike329,user1266,1
hike40,user1266,5
hike44,user1266,4
hike30,user1267,3
hike70,user1267,5
hike1,user1268,4
hike10,user1269,3
hike3,user1269,5
hike33,user1269,4
hike357,user1269,5
hike68,user1269,4
hike148,user127,5
hike92,user1270,5
hike34,user1271,5
hike2,user1272,5
hike34,user1273,5
hike0,user1274,3
hike2,user1275,4
hike115,user1276,1
hike134,user1277,5
hike2,user1277,4
hike406,user1277,5
hike218,user1278,5
hike181,user1279,5
hike194,user1279,5
hike35,user128,4
hike110,user1280,5
hike3,user1280,4
hike66,user1280,4
hike7,user1280,4
hike89,user1280,5
hike1,user1281,5
hike109,user1281,4
hike3,user1281,4
hike17,user1282,5
hike21,user1283,5
hike320,user1284,4
hike357,user1284,4
hike6,user1285,4
hike375,user1286,5
hike10,user1287,4
hike376,user1288,5
hike408,user1288,5
hike408,user1289,4
hike2,user129,5
hike6,user129,4
hike7,user129,5
hike124,user1290,5
hike143,user1290,5
hike26,user1290,4
hike267,user1290,5
hike362,user1290,5
hike393,user1290,3
hike51,user1290,4
hike97,user1290,4
hike21,user1291,5
hike256,user1291,5
hike159,user1292,5
hike17,user1292,5
hike206,user1292,5
hike68,user1292,5
hike437,user1293,4
hike328,user1294,3
hike156,user1295,4
hike41,user1295,4
hike181,user1296,4
hike41,user1296,4
hike2,user1297,5
hike98,user1298,5
hike106,user1299,5
hike326,user1299,5
hike351,user1299,5
hike79,user1299,4
hike10,user13,5
hike17,user13,5
hike270,user13,3
hike344,user13,5
hike437,user13,4
hike13,user130,4
hike126,user1300,4
hike384,user1301,4
hike1,user1302,5
hike50,user1302,4
hike82,user1302,5
hike320,user1303,4
hike55,user1303,5
hike38,user1304,4
hike5,user1304,4
hike250,user1305,5
hike9,user1306,4
hike18,user1307,4
hike2,user1307,4
hike214,user1307,3
hike9,user1308,4
hike12,user1309,5
hike317,user131,5
hike87,user1310,4
hike9,user1311,5
hike234,user1312,5
hike100,user1313,4
hike438,user1314,4
hike378,user1315,3
hike144,user1316,5
hike22,user1316,5
hike35,user1316,5
hike173,user1317,3
hike16,user1318,5
hike3,user1318,5
hike33,user1318,4
hike95,user1319,4
hike46,user132,4
hike176,user1320,5
hike24,user1321,5
hike76,user1322,5
hike0,user1323,4
hike100,user1323,5
hike13,user1323,5
hike175,user1323,5
hike23,user1323,4
hike3,user1323,5
hike50,user1323,4
hike7,user1323,4
hike10,user1324,5
hike100,user1324,5
hike16,user1324,4
hike3,user1324,5
hike120,user1325,4
hike27,user1326,5
hike13,user1327,4
hike26,user1327,5
hike29,user1327,4
hike39,user1327,4
hike59,user1327,3
hike6,user1327,5
hike7,user1327,5
hike151,user1328,4
hike222,user1329,4
hike13,user133,5
hike49,user1330,5
hike5,user1330,5
hike250,user1331,4
hike112,user1332,5
hike203,user1333,3
hike7,user1333,5
hike7,user1334,4
hike20,user1335,5
hike260,user1336,4
hike49,user1336,4
hike0,user1337,3
hike145,user1337,5
hike229,user1337,5
hike4,user1337,5
hike41,user1337,5
hike129,user1338,4
hike187,user1338,4
hike52,user1338,4
hike175,user1339,3
hike176,user134,4
hike0,user1340,4
hike118,user1341,5
hike30,user1341,4
hike90,user1342,4
hike11,user1343,5
hike264,user1344,3
hike183,user1345,5
hike2,user1346,5
hike39,user1347,5
hike98,user1348,5
hike113,user1349,5
hike39,user135,3
hike63,user135,4
hike61,user1350,4
hike327,user1351,5
hike10,user1352,4
hike264,user1353,3
hike77,user1353,5
hike189,user1354,5
hike188,user1355,5
hike342,user1355,5
hike384,user1356,4
hike2,user1357,5
hike92,user1358,5
hike10,user1359,5
hike279,user136,5
hike18,user1360,3
hike39,user1360,3
hike376,user1361,5
hike2,user1362,5
hike1,user1363,4
hike405,user1363,4
hike3,user1364,5
hike411,user1364,3
hike46,user1364,5
hike64,user1364,5
hike190,user1365,5
hike212,user1366,1
hike7,user1367,4
hike58,user1368,5
hike11,user1369,5
hike5,user1369,5
hike94,user1369,5
hike118,user137,5
hike131,user137,4
hike304,user1370,4
hike288,user1371,4
hike15,user1372,5
hike53,user1373,2
hike226,user1374,5
hike290,user1375,4
hike32,user1375,5
hike0,user1376,4
hike11,user1376,3
hike29,user1376,5
hike41,user1376,4
hike46,user1376,5
hike47,user1376,5
hike6,user1376,3
hike68,user1376,3
hike72,user1376,4
hike105,user1377,5
hike138,user1378,5
hike338,user1378,5
hike249,user1379,5
hike271,user1379,5
hike272,user1379,5
hike10,user138,5
hike162,user1380,4
hike3,user1380,5
hike41,user1380,4
hike36,user1381,5
hike16,user1382,5
hike308,user1383,5
hike325,user1384,5
hike102,user1385,3
hike127,user1385,5
hike411,user1385,1
hike65,user1385,4
hike201,user1386,5
hike158,user1387,5
hike145,user1388,5
hike27,user1388,5
hike0,user1389,5
hike19,user1389,5
hike220,user1389,4
hike228,user1389,4
hike26,user1389,5
hike28,user1389,5
hike282,user1389,4
hike47,user1389,4
hike63,user1389,3
hike9,user1389,4
hike132,user139,3
hike23,user139,5
hike7,user139,3
hike435,user1390,5
hike3,user1391,5
hike13,user1392,5
hike36,user1393,5
hike14,user1394,4
hike40,user1394,5
hike75,user1394,2
hike181,user1395,5
hike123,user1396,3
hike118,user1397,5
hike0,user1398,4
hike6,user1398,3
hike66,user1398,4
hike80,user1398,4
hike98,user1398,4
hike75,user1399,5
hike94,user14,5
hike174,user140,5
hike360,user140,5
hike246,user1400,4
hike115,user1401,5
hike137,user1401,5
hike173,user1401,5
