hike_region,total_distance,elevation_gain,hike_difficulty,num_reviews,stars,hike_id,loop,out_and_back,point_to_point,dog_friendly,kid_friendly,camping,waterfall,river,lake,wildflowers,wildlife,views
Roosevelt National Forest,6.3,1529,2,65,4.8,hike99,0,1,0,1,1,0,1,1,1,1,0,1
Pike National Forest,12.8,4612,3,40,4.2,hike100,0,1,0,1,0,1,1,1,1,0,0,1
Arapaho National Forest,9.0,2887,2,23,4.5,hike101,0,1,0,1,0,1,1,1,1,1,0,1
Pike National Forest,2.6,589,2,66,4.1,hike102,0,1,0,1,1,0,1,1,0,0,0,1
Maroon Bells Snowmass Wilderness,25.2,8415,2,22,4.8,hike103,1,0,0,1,0,1,1,1,1,1,0,1
White River National Forest,20.2,4783,3,39,4.7,hike104,0,1,0,0,0,1,1,1,0,1,0,1
Rocky Mountain National Park,3.7,895,2,60,4.5,hike105,0,1,0,0,0,0,1,0,1,0,0,1
Rocky Mountain National Park,2.9,625,2,65,4.1,hike106,1,0,0,0,1,0,0,0,1,0,0,1
Roosevelt National Forest,3.6,466,1,48,4.5,hike107,0,1,0,1,1,1,0,1,0,1,0,1
"Golden, Colorado",13.4,1906,2,78,3.9,hike108,1,0,0,1,0,0,0,0,0,1,0,1
Boulder Mountain Park,1.2,450,1,41,3.9,hike109,0,1,0,0,1,0,0,0,0,1,0,1
Roxborough State Park,6.3,1130,2,61,4.1,hike110,0,1,0,0,0,0,0,0,0,1,0,1
Castlewood Canyon State Park,6.0,851,1,47,4.2,hike111,1,0,0,1,1,0,1,1,0,1,0,1
San Isabel National Forest,22.6,9615,3,27,4.6,hike112,0,1,0,1,0,1,0,1,0,1,0,1
Bear Creek Park,8.1,2987,3,28,4.4,hike113,1,0,0,0,0,0,0,0,0,1,0,1
Arapaho National Forest,3.3,700,2,33,4.5,hike114,0,1,0,0,0,1,0,1,1,1,0,1
North Cheyenne Park,6.8,1746,1,46,4.0,hike115,0,1,0,1,1,0,1,1,0,1,0,1
Rocky Mountain National Park,9.7,2275,2,14,5.0,hike116,1,0,0,0,0,0,1,1,1,1,0,1
Elk Meadow Park,4.2,646,1,41,4.1,hike117,1,0,0,1,1,0,0,0,0,1,0,1
Rocky Mountain National Park,8.4,2880,3,55,4.5,hike118,0,1,0,0,0,0,0,0,0,0,0,1
Madema Park,8.7,1843,3,32,4.0,hike119,1,0,0,1,0,0,0,0,0,1,0,1
Rocky Mountain National Park,6.1,1038,2,47,4.2,hike120,0,1,0,0,0,0,1,0,0,0,0,1
Rocky Mountain National Park,5.9,1455,2,71,4.2,hike121,0,1,0,0,0,0,0,0,0,0,0,1
Arapaho National Forest,7.9,3675,1,56,4.3,hike122,1,0,0,1,1,0,0,1,0,1,0,1
Ute Valley Park,3.5,433,2,51,4.1,hike123,1,0,0,1,1,0,0,1,0,1,0,1
Rocky Mountain National Park,7.4,758,1,48,4.3,hike124,0,1,0,0,1,0,1,1,0,1,0,0
Lair o' the Bear Park,14.5,2528,2,39,4.2,hike125,0,1,0,1,0,0,0,0,0,1,0,1
Mount Falcon Park,4.1,624,2,28,4.1,hike126,1,0,0,1,1,0,0,0,0,1,0,1
Cascade Chipita Park,6.9,1360,2,54,4.1,hike127,1,0,0,0,1,1,0,0,0,1,0,1
Roosevelt National Forest,6.7,997,1,30,4.1,hike128,1,0,0,0,1,1,0,0,1,1,0,1
White River National Forest,7.1,3247,3,38,4.5,hike129,0,1,0,1,0,0,0,0,0,0,0,1
Holy Cross Wilderness,4.8,1378,2,63,4.0,hike130,0,1,0,1,1,0,0,0,1,1,0,1
Boulder Mountain Park,2.7,772,2,30,4.4,hike131,0,1,0,1,0,0,0,0,0,1,0,1
Sunset Park,4.1,1378,2,60,3.9,hike132,1,0,0,1,1,0,0,1,1,1,0,1
Eldorado Canyon State Park,4.0,571,1,31,4.5,hike133,0,1,0,0,1,0,0,0,0,1,0,1
Roosevelt National Forest,7.9,2669,3,35,4.8,hike134,0,1,0,1,0,0,0,0,0,1,0,1
Bear Creek Lake Regional Park,9.6,759,1,22,3.3,hike135,1,0,0,1,0,1,0,1,1,0,0,0
Jefferson County Open Space,4.2,960,2,51,3.8,hike136,1,0,0,1,0,0,0,0,0,0,0,0
Pike National Forest,2.6,267,1,47,4.3,hike137,0,1,0,1,1,0,0,0,1,0,0,0
Walter Byron Memorial Park,3.2,1423,3,61,4.5,hike138,0,1,0,1,0,0,0,0,0,0,0,1
Golden Gate Canyon State Park,4.0,984,2,26,4.3,hike139,0,1,0,1,1,1,0,0,0,1,0,0
Meeker Park,5.8,1432,2,49,4.4,hike140,0,1,0,0,0,0,1,1,0,0,0,1
Roosevelt National Forest,2.6,472,1,31,4.5,hike141,1,0,0,1,1,0,1,1,1,0,0,1
Pike National Forest,6.9,1988,3,50,4.3,hike142,0,1,0,1,0,0,0,0,0,1,0,1
Holy Cross Wilderness,7.2,1652,2,40,4.8,hike143,0,1,0,1,0,1,1,1,1,1,0,1
Viestenz Smith Mountain Park,10.5,3274,2,51,4.1,hike144,0,1,0,1,0,0,0,0,0,1,0,1
Rocky Mountain National Park,9.4,2201,3,36,4.8,hike145,0,1,0,0,0,0,1,1,1,1,0,1
Golden Gate Canyon State Park,4.8,1114,2,19,4.2,hike146,1,0,0,0,1,0,0,0,0,1,0,1
Rocky Mountain National Park,0.8,43,1,49,3.9,hike147,1,0,0,0,1,0,0,0,1,0,0,1
Pike National Forest,4.8,2068,2,48,3.9,hike148,0,1,0,1,1,0,0,0,0,1,0,1
Maroon Bells Snowmass Wilderness,11.3,6032,2,16,4.8,hike149,0,1,0,1,0,0,0,1,1,1,0,1
Pike National Forest,8.5,3118,2,39,4.5,hike150,0,1,0,1,0,0,0,0,0,0,0,0
White Ranch Open Space Park,4.6,915,2,31,4.3,hike151,1,0,0,1,1,0,0,0,0,1,0,1
White River National Forest,12.5,6307,3,17,4.6,hike152,0,1,0,1,0,1,0,0,0,1,0,1
Pike National Forest,3.6,2101,3,45,4.3,hike153,0,1,0,1,0,0,1,1,0,1,0,1
Arapaho National Forest,6.6,981,1,33,4.5,hike154,0,1,0,1,1,0,1,1,1,1,0,1
Rocky Mountain National Park,2.8,483,2,12,4.6,hike155,0,1,0,0,0,1,1,1,1,1,0,1
Beverly Heights Park,8.0,1732,2,27,3.8,hike156,0,1,0,1,0,0,0,0,0,1,0,1
Garden of the Gods,2.5,415,2,34,4.1,hike157,1,0,0,1,1,0,0,0,0,1,0,1
South Table Mountain Park,9.3,1259,1,37,3.9,hike158,1,0,0,0,1,0,0,0,0,1,0,1
Red Rock Canyon Open Space,4.1,557,2,29,3.9,hike159,1,0,0,0,1,0,0,0,0,1,0,1
Betasso Preserve,3.3,571,2,50,3.9,hike160,1,0,0,1,1,0,0,0,1,1,0,1
Pike National Forest,3.7,1323,2,14,4.9,hike161,0,1,0,1,1,0,0,0,0,1,0,1
Pike National Forest,4.9,435,1,40,4.1,hike162,1,0,0,1,1,0,0,0,0,1,0,1
Pence Park,1.8,764,2,36,4.3,hike163,0,1,0,1,0,0,0,0,0,1,0,1
Roxborough State Park,2.8,530,1,40,4.2,hike164,1,0,0,0,1,0,0,0,0,1,0,1
Staunton State Park,11.6,2225,1,41,4.0,hike165,1,0,0,1,1,0,1,1,1,1,0,1
Roosevelt National Forest,2.7,547,2,23,3.8,hike166,1,0,0,1,0,0,0,0,0,1,0,1
Rocky Mountain National Park,8.5,2088,2,24,4.7,hike167,0,1,0,0,0,1,0,1,1,1,0,1
Eagles Nest Wilderness,8.5,2916,3,30,4.6,hike168,0,1,0,1,0,0,1,0,1,1,0,1
Reynolds Ranch County Park,2.2,689,2,29,4.2,hike169,1,0,0,1,1,0,0,0,0,1,0,1
Red Rocks Park,3.2,1973,3,37,4.2,hike170,0,1,0,1,0,0,0,0,0,1,0,1
Fossil Ridge Wilderness,6.0,1546,2,25,4.4,hike171,0,1,0,1,1,1,0,0,1,1,0,1
Roosevelt National Forest,3.5,297,1,33,3.5,hike172,1,0,0,1,1,0,0,0,0,1,0,1
Arapaho National Forest,4.1,546,2,47,4.3,hike173,1,0,0,1,0,0,1,1,1,1,0,1
White River National Forest,6.2,1621,2,44,4.4,hike174,0,1,0,0,0,0,0,0,0,1,0,1
Mount Massive Wilderness,8.8,4463,3,43,4.7,hike175,0,1,0,1,0,1,0,0,0,1,0,1
Eagles Nest Wilderness,11.6,2586,2,25,4.8,hike176,0,1,0,1,0,0,1,1,0,1,0,1
Platt Park,0.4,94,1,24,3.3,hike177,0,1,0,1,1,0,1,0,0,1,0,1
Roosevelt National Forest,10.8,2070,2,20,4.6,hike178,0,1,0,1,0,0,0,1,1,1,0,1
Boulder Mountain Park,3.4,1458,3,24,4.0,hike179,1,0,0,1,0,0,0,0,0,1,0,1
Rocky Mountain National Park,6.2,1981,2,31,4.5,hike180,0,1,0,0,0,0,0,0,0,1,0,1
Bluffs Regional Park,2.8,410,1,57,4.1,hike181,1,0,0,1,1,0,0,0,0,0,0,1
Jefferson County Open Space,13.3,2665,2,25,3.8,hike182,1,0,0,1,0,0,0,1,0,1,0,1
Pike National Forest,3.5,2385,2,53,3.8,hike183,0,1,0,0,0,0,0,0,0,0,0,0
Rocky Mountain National Park,6.1,846,1,50,3.8,hike184,1,0,0,0,1,0,0,0,1,1,0,1
Roosevelt National Forest,1.9,254,1,35,4.5,hike185,0,1,0,1,1,0,0,1,1,1,0,1
Bohn Park,3.9,530,2,48,3.9,hike186,1,0,0,1,1,0,0,0,0,1,0,1
White River National Forest,8.7,1426,2,32,3.8,hike187,0,1,0,1,0,0,1,1,0,1,0,1
Pike National Forest,15.3,3473,2,25,4.3,hike188,0,1,0,1,0,1,0,0,1,1,0,0
Ajax Park,5.5,3188,3,40,4.7,hike189,0,1,0,0,0,0,0,0,0,1,0,1
Lair o' the Bear Park,1.6,291,1,54,3.5,hike190,1,0,0,1,1,0,0,1,0,1,0,1
Chatfield State Park,6.9,2361,3,16,4.1,hike191,0,1,0,0,0,0,0,0,0,1,0,1
Golden Gate Canyon State Park,6.4,1837,3,27,4.4,hike192,1,0,0,1,0,0,0,0,0,0,0,1
San Juan National Forest,9.2,1843,2,19,4.4,hike193,0,1,0,1,0,1,1,1,0,1,0,1
"Fort Collins, Colorado",4.1,593,1,29,4.3,hike194,0,1,0,0,1,0,0,0,0,0,0,1
South Dinosaur Park,7.1,1324,2,12,3.8,hike195,1,0,0,1,0,0,0,0,0,0,0,0
Elk Meadow Park,10.3,2431,2,23,4.2,hike196,1,0,0,1,0,0,0,0,0,1,0,1
Palmer Park,4.1,633,2,32,4.1,hike197,1,0,0,1,1,0,0,0,0,1,0,1
Golden Gate Canyon State Park,3.3,830,2,23,4.1,hike198,1,0,0,1,0,1,0,0,0,1,0,1
Arapaho National Forest,2.3,1142,3,12,4.6,hike199,0,1,0,1,0,0,0,0,1,1,0,1
White River National Forest,8.5,2598,3,22,4.5,hike200,0,1,0,1,0,0,0,0,1,1,0,1
"Boulder, Colorado",8.1,3143,3,21,4.3,hike201,1,0,0,1,0,0,0,0,0,1,0,1
Pike National Forest,5.5,1410,2,7,4.4,hike202,0,1,0,1,0,0,0,0,0,0,0,0
"Morrison, Colorado",3.2,1973,2,17,3.9,hike203,0,1,0,1,0,0,0,0,0,1,0,1
Roosevelt National Forest,4.2,1135,2,10,5.0,hike204,0,1,0,0,0,0,0,0,0,1,0,1
Golden Gate Canyon State Park,6.1,1691,1,12,4.4,hike205,0,1,0,0,1,0,0,1,0,1,0,1
Garden of the Gods,0.6,120,1,27,4.0,hike206,1,0,0,1,1,0,0,0,0,1,0,1
Dillon Reservoir Recreation Area,2.7,642,1,28,3.8,hike207,0,1,0,1,1,0,0,0,1,0,0,1
"Golden, Colorado",4.6,1017,2,25,3.8,hike208,1,0,0,1,0,0,0,0,0,1,0,1
Ofallon Municipal Park,3.7,978,2,22,3.8,hike209,1,0,0,0,0,0,0,0,0,1,0,1
Uncompahgre Wilderness,4.5,1170,2,36,4.5,hike210,0,1,0,1,1,1,1,1,1,1,0,1
Pike National Forest,13.7,1347,2,29,4.3,hike211,1,0,0,1,0,1,0,0,1,1,0,1
Roosevelt National Forest,10.0,1602,2,32,4.0,hike212,1,0,0,0,1,0,0,0,0,1,0,1
Roosevelt National Forest,1.4,453,2,24,4.5,hike213,0,1,0,1,1,0,0,0,0,1,0,1
Meyer Ranch Park,3.9,916,1,36,3.8,hike214,1,0,0,0,1,0,0,0,0,1,0,0
Boulder Mountain Park,3.9,1281,2,22,4.3,hike215,1,0,0,1,0,0,0,0,0,0,0,1
San Juan National Forest,3.1,494,1,28,4.5,hike216,1,0,0,1,1,0,0,0,1,0,0,0
"Breckenridge, Colorado",1.8,378,2,16,4.4,hike217,0,1,0,1,0,0,1,1,1,1,0,0
San Juan National Forest,5.9,1570,2,28,4.4,hike218,1,0,0,1,0,0,0,0,0,0,0,1
Rocky Mountain National Park,0.8,136,1,42,4.0,hike219,1,0,0,0,1,0,1,1,0,0,0,1
Arapaho National Forest,3.0,1115,2,41,4.5,hike220,0,1,0,1,0,0,0,1,0,1,0,1
Fillius Park,4.5,1194,2,32,3.7,hike221,1,0,0,1,1,0,1,0,0,1,0,1
White River National Forest,5.6,2160,3,35,4.7,hike222,0,1,0,1,0,1,1,1,1,1,0,1
White River National Forest,7.9,1914,2,35,4.1,hike223,0,1,0,1,0,0,0,1,0,1,0,1
Deer Creek Canyon Park,2.1,240,1,25,3.9,hike224,1,0,0,1,1,0,0,0,1,1,0,0
Roosevelt National Forest,9.7,2102,3,24,4.9,hike225,0,1,0,0,0,0,1,0,1,1,0,1
Rocky Mountain National Park,1.1,225,1,40,4.2,hike226,1,0,0,0,1,0,0,0,1,1,0,0
East Boulder Community Park,6.6,188,1,11,3.6,hike227,0,1,0,1,1,0,0,1,0,1,0,1
Golden Gate Canyon State Park,8.1,1870,2,7,4.1,hike228,1,0,0,0,0,1,0,0,0,1,0,1
Arapaho National Forest,4.3,1096,2,26,4.2,hike229,0,1,0,1,0,0,0,0,1,1,0,1
Pike National Forest,4.4,502,2,23,3.9,hike230,1,0,0,1,1,0,0,0,0,1,0,1
Mount Evans Wilderness,3.6,1926,3,23,4.4,hike231,1,0,0,1,0,0,0,0,1,1,0,1
Indian Peaks Wilderness,12.5,3656,2,10,4.4,hike232,0,1,0,1,0,0,0,0,0,1,0,1
White River National Forest,15.5,1917,3,24,4.3,hike233,0,1,0,1,0,0,1,1,1,1,0,1
Arapaho National Forest,5.7,1052,1,32,4.0,hike234,0,1,0,1,1,0,0,1,1,1,0,1
Meyer Ranch Park,4.1,906,2,23,4.0,hike235,0,1,0,1,0,0,0,0,0,1,0,1
San Isabel National Forest,3.0,1180,2,23,4.6,hike236,0,1,0,0,0,0,0,0,0,0,0,0
San Isabel National Forest,5.8,1737,2,57,4.4,hike237,0,1,0,1,1,0,0,1,0,0,0,1
Gunnison National Forest,2.3,494,1,22,4.5,hike238,0,1,0,1,1,0,1,1,1,1,0,1
Roosevelt National Forest,7.6,2712,3,26,4.3,hike239,0,1,0,1,0,0,0,0,1,1,0,1
Rocky Mountain National Park,8.7,2138,2,21,4.6,hike240,0,1,0,0,0,1,0,0,1,1,0,1
Garden of the Gods,5.8,1468,2,23,3.7,hike241,0,1,0,1,1,0,1,1,0,0,0,1
Mt Massive Wilderness Area,12.9,4556,3,12,4.6,hike242,0,1,0,1,0,1,0,0,0,1,0,1
Rocky Mountain National Park,0.3,98,1,26,4.3,hike243,0,1,0,0,1,0,1,1,0,1,0,0
Winter Park,5.8,1047,1,19,3.5,hike244,1,0,0,1,1,0,0,0,0,0,0,0
Rocky Mountain National Park,16.0,3411,3,16,4.8,hike245,0,1,0,0,0,0,0,1,1,0,0,1
Arapaho National Forest,7.3,1228,2,20,4.6,hike246,0,1,0,1,0,0,0,0,1,1,0,0
James Peak Wilderness,6.8,1692,2,16,4.3,hike247,0,1,0,1,0,0,1,1,1,1,0,0
Rio Grande National Forest,0.9,233,2,31,4.4,hike248,0,1,0,1,1,0,1,1,0,1,0,1
Rocky Mountain National Park,9.6,3282,3,22,4.8,hike249,0,1,0,0,0,0,0,0,1,1,0,1
Eagles Nest Wilderness,6.0,871,2,34,4.4,hike250,0,1,0,0,1,0,1,1,1,1,0,1
San Isabel National Forest,4.3,890,1,23,4.3,hike251,0,1,0,1,1,0,1,1,1,1,0,1
North Cheyenne Park,3.0,1387,2,45,4.5,hike252,0,1,0,0,0,0,0,0,0,1,0,1
Rocky Mountain National Park,8.3,1371,2,17,4.4,hike253,0,0,1,0,0,1,1,1,1,1,0,1
Arapaho National Forest,7.3,2008,2,13,4.7,hike254,0,1,0,1,0,0,0,0,0,1,0,1
Eagles Nest Wilderness,6.8,1656,3,18,4.1,hike255,0,1,0,1,0,0,0,1,1,1,0,1
"Idaho Springs, Colorado",27.1,7561,1,15,4.7,hike256,0,0,1,1,0,0,0,0,1,0,0,0
Pike National Forest,0.7,303,1,16,4.0,hike257,0,1,0,1,1,0,1,0,0,1,0,1
White River National Forest,8.3,1920,1,21,3.9,hike258,0,1,0,0,0,1,0,0,1,0,0,0
